,Feature,Coefficient
0,pipeline-1__ca,0.6746530980013775
1,onehotencoder__cp_4.0,0.6147850844628998
2,pipeline-2__thal_7.0,0.4500905306465596
3,standardscaler__oldpeak,0.4003883492107997
4,onehotencoder__exang_1.0,0.3237249830457789
5,onehotencoder__sex_1.0,0.2976772502272853
6,onehotencoder__slope_2.0,0.27556530191368384
7,standardscaler__trestbps,0.25334121258987014
8,onehotencoder__restecg_2.0,0.16872434784097426
9,onehotencoder__fbs_0.0,0.16101949734960588
10,standardscaler__age,0.027461642823905834
11,standardscaler__chol,0.014375789622254736
12,pipeline-2__thal_6.0,0.006372765392193168
13,onehotencoder__restecg_1.0,-0.007912214030664453
14,onehotencoder__cp_2.0,-0.05575603705710552
15,onehotencoder__slope_3.0,-0.12403495298677863
16,onehotencoder__slope_1.0,-0.1515602926951144
17,onehotencoder__restecg_0.0,-0.16084207757851895
18,onehotencoder__fbs_1.0,-0.16104944111781513
19,onehotencoder__cp_3.0,-0.2453993066042668
20,onehotencoder__sex_0.0,-0.29770719399549445
21,onehotencoder__cp_1.0,-0.3136596845697368
22,onehotencoder__exang_0.0,-0.3237549268139881
23,standardscaler__thalach,-0.40685822469452637
24,pipeline-2__thal_3.0,-0.456493239806962
